mgrtomsa:confidence,id,msa,cleanedtweet,cleanedtweet2
0.6841,2837,غريبة إيطاليا اقرب من تركيا لماذا الأسعار أكثر من تركيا و لماذا اليورو  في إسطنبول دينار وايطاليا دينار,غريبة إيطاليا اقرب من تركيا علاش الأسعار اكتر من تركيا وعلاش باليورو اسطنبول دينار وإيطاليا حوالي دينار,غريبة إيطاليا اقرب من تركيا علاش الأسعار اكتر من تركيا وعلاش باليورو اسطنبول دينار وإيطاليا حوالي دينار
1.0,2841,الكلمة الأكثر شعبية في شهر الصيام رمضان هي  تفوق عليك  رمضان أم  تفوقت عليه  نحن نتشاجر معه  على سبيل المثال,الكلمة الأكثر شعبية في رمضان غلبك ولا غلبتو علاش رانا نضاربو مثلا,الكلمة الأكثر شعبية في رمضان غلبك ولا غلبتو علاش رانا نضاربو مثلا
1.0,2841,الكلمة الأكثر شعبية في رمضان غلبك او غلبته لماذا  نخن  في عراك  مثلا,الكلمة الأكثر شعبية في رمضان غلبك ولا غلبتو علاش رانا نضاربو مثلا,الكلمة الأكثر شعبية في رمضان غلبك ولا غلبتو علاش رانا نضاربو مثلا
0.6743,2841,الأكثرية يقولون في رمضان هل غلبته أم غلبك ولكن هل نحن نتعارك,الكلمة الأكثر شعبية في رمضان غلبك ولا غلبتو علاش رانا نضاربو مثلا,الكلمة الأكثر شعبية في رمضان غلبك ولا غلبتو علاش رانا نضاربو مثلا
0.684,2845,براي وقد ضننت اني في موقع و حوار اخر,و الله عند راسي دخلتك في منشن تاني و الله علاش غادي نتفلا,و الله عند راسي دخلتك في منشن تاني و الله علاش غادي نتفلا
1.0,2847,متعاطي للحشيش قام بتسجيل أخته في حصة  من سيربح المليون لماذا لكي يرى ان كانت ستتصل بصديق أو لا,مزطول سجل أختوا في من سيربح المليون علاش باش يشوفها تتصل بصديق ولا لالا,مزطول سجل أختوا في من سيربح المليون علاش باش يشوفها تتصل بصديق ولا لالا
1.0,2849,كيف عاش جمهور النجوم فرحة التتويج  ليلة و يوم المباراة,كيفاش عاش جمهور ليتوال فرحة التتويج ليلة و يوم المباراة,كيفاش عاش جمهور ليتوال فرحة التتويج ليلة و يوم المباراة
1.0,2854,عندما يأتي زبون و ؟أسحب له إيصال الحجز قلبي يتقطع و أفكر لما لم أسجل في منظومة جوازات لماذا,لما ايجي زبون ونسحبله في ايصال الحجز قلبي يتقطع ونتفكر اني ماسجلتش في منظومة الجوازات علاش هكي,لما ايجي زبون ونسحبله في ايصال الحجز قلبي يتقطع ونتفكر اني ماسجلتش في منظومة الجوازات علاش هكي
1.0,2856,كيف تعرف نفسك يهودي و اعمى كيف ترى اسم سيدنا محمد و لاتعمل اعجاب,كيفاش تعرف روحك إيهودي و أعمى كيف تشوف إسم سيدنا محمد و ما تعملش جام,كيفاش تعرف روحك إيهودي و أعمى كيف تشوف إسم سيدنا محمد و ما تعملش جام
0.6791,2861,هسبريس كيف تزعمون صديق للمثليين هسبريس مفجّر ملهى أورلاندو كان صديقا للمثليين,هسبريس كيفاش زعما صديق للمثليين هسبريس مفجّر ملهى أورلاندو كان صديقا للمثليين,هسبريس كيفاش زعما صديق للمثليين هسبريس مفجر ملهى أورلاندو كان صديقا للمثليين
0.6701,2865,لماذا أحسست أنه من الترلير فيها لقطات من,علاش حسيت ان من التريلير فيها لقطات من,علاش حسيت ان من التريلير فيها لقطات من
1.0,2869,من اليوم الذي علمت أبي كيفية التحميل باتورنت نقصت الانترنت بشكل كبير,من نهار علمت الواليد كيفاش يطيليجاري بالطورنت و الصبيب عندي كي زفت,من نهار علمت الواليد كيفاش يطيليجاري بالطورنت و الصبيب عندي كي زفت
1.0,2873,عائشة مجنونة لماذا أنا لا أصادف  الا المجنونات السؤال الذي يبقى يحيرني طوال حياتي,عٓائِشة هبيييييلة علاش انا كنتصادف غير مع الهبيلات السؤال لي غيبقى محيرني طول حياتي,عائشة هبيلة علاش انا كنتصادف غير مع الهبيلات السؤال لي غيبقى محيرني طول حياتي
0.6875,2874,لماذا لم يسمح لمحمد معروف بالترشح للإنتخابات الجماعية ، ولكن الحمد لله لأنه لم يترشح,ها علاش محمد معروف مكا يخليوهشي يدوز في الانتخا بات الجماعية ولكن الحمدو اللة عل هاده,ها علاش محمد معروف مكا يخليوهشي يدوز في الانتخا بات الجماعية ولكن الحمدو اللة عل هاده
0.6613,2875,لماذا هكذا لا أريد أن أسب من جديد,علاش هكى ربك معادش نحب نسب,علاش هكى ربك معادش نحب نسب
0.9203,2875,لماذا هكذا لا أريد أن أسب من جديد,علاش هكى ربك معادش نحب نسب,علاش هكى ربك معادش نحب نسب
0.6783,2882,لا لا هدا كثير باب الاحد شخصيا ارسل لي رسالة صداقة كيف عرفني انا هو العضو,لا لا هاادي بزااااف بااب الاحد شخصياا ارسل لياا انفيتااسيووون كيفاااش زعماا عرفني اناا هو الادمين,لا لا هاادي بزاف بااب الاحد شخصياا ارسل لياا انفيتااسيون كيفاش زعماا عرفني اناا هو الادمين
1.0,2884,اخبار جزائري بحرقة شديدة على وطنه لماذا,اخبار جزائري بحرقة شديدة على وطنه علاش,اخبار جزائري بحرقة شديدة على وطنه علاش
1.0,2884,أنباء جزائري بحرقة شديدة على وطنه لماذا,اخبار جزائري بحرقة شديدة على وطنه علاش,اخبار جزائري بحرقة شديدة على وطنه علاش
1.0,2884,اخبار جزائري بحرقة شديدة على وطنه لماذا,اخبار جزائري بحرقة شديدة على وطنه علاش,اخبار جزائري بحرقة شديدة على وطنه علاش
1.0,2884,لماذا يتألم المواطن الجزائري  عندما يخبر عن وطنه,اخبار جزائري بحرقة شديدة على وطنه علاش,اخبار جزائري بحرقة شديدة على وطنه علاش
1.0,2885,شاهدهم من بعيد و ستعرف  لماذا  ابعدهم الله عنك,اتفرج عليهم من بعيد و انت ح تعرف علاش ربي بعدهم عليك,اتفرج عليهم من بعيد و انت ح تعرف علاش ربي بعدهم عليك
1.0,2889,لماذا عابسة و الدنيا أفضل ما فيها ابتسامتك,ع ش عابسة والدنيا اح ما فيها ابتسامتك,ع ش عابسة والدنيا اح ما فيها ابتسامتك
1.0,2891,ريما لماذا من كان مستفيد من القانون غير أبناء الدولة اتركونا صامتين,ريما علاش شكون كان مستفيد من القانون غير ولاد الدولة خلونا ساكتين,ريما علاش شكون كان مستفيد من القانون غير ولاد الدولة خلونا ساكتين
1.0,2896,كيف  العصبة الأمازيغية لحقوق الإنسان ندعو إلى مصالحة تاريخية بين الأمازيغ والدولة كيف,كيفاش العصبة الأمازيغية لحقوق الإنسان ندعو إلى مصالحة تاريخية بين الأمازيغ والدولة كيفاش,كيفاش العصبة الأمازيغية لحقوق الإنسان ندعو إلى مصالحة تاريخية بين الأمازيغ والدولة كيفاش
1.0,2897,كيف ألغى انتخاب مستشارين استقلاليين وثالث من البيجيدي ضربة جديدة من المجلس الدستوري كيف,كيفاش ألغى انتخاب مستشارين استقلاليين وثالث من البيجيدي ضربة جديدة من المجلس الدستوري كيفاش,كيفاش ألغى انتخاب مستشارين استقلاليين وثالث من البيجيدي ضربة جديدة من المجلس الدستوري كيفاش
0.6613,2898,لماذا تتصرفين هكذا خدوج سوف تغضب البدينات,علاش راكي تقباحي خدوج دك يزعفوا السمانات,علاش راكي تقباحي خدوج دك يزعفوا السمانات
1.0,2899,رنوش المدريدية نعم لماذا تضحكين علي أنا حنونة تجاههم,رنوش المدريدية ايه علاش راكي تضحكي عليا انا حنينة عليهم خخخخخخ,رنوش المدريدية ايه علاش راكي تضحكي عليا انا حنينة عليهم خ
0.6765,2899,رنوش المدريدية  نعم لماذا تضحكين علينا انا حنينة عليهم تضحك,رنوش المدريدية ايه علاش راكي تضحكي عليا انا حنينة عليهم خخخخخخ,رنوش المدريدية ايه علاش راكي تضحكي عليا انا حنينة عليهم خ
1.0,2899,رنوش المدريدية  لمذا تضحكين  عليا انا الطف عليهم,رنوش المدريدية ايه علاش راكي تضحكي عليا انا حنينة عليهم خخخخخخ,رنوش المدريدية ايه علاش راكي تضحكي عليا انا حنينة عليهم خ
1.0,2901,الترف المزيطي لماذا انا قمت بالسخرية عليكم فقط,البزخ المز يطي علاش تف عتو راني غير عايرتكم,البزخ المز يطي علاش تف عتو راني غير عايرتكم
1.0,2903,الآن فهمتم لماذا قال من الآن فصاعدا لا أحد يحمل معه شيئا,توا فهمتوا علاش قال معادش حتى حد يهز معاه حاجة هههههههههه,توا فهمتوا علاش قال معادش حتى حد يهز معاه حاجة
0.6782,2911,لماذا لم تذكريني لماذا يا سليمة السلام عليكم,علاش مكتاكينيش علاش سليمة سلام عليكم هههه,علاش مكتاكينيش علاش سليمة سلام عليكم
1.0,2913,كيف هذا لم يبقى إلا أن يتكلموا الفروج أبيضار في الدوزيم,ههههههههههههههههههههههههههههههههههههههههههه هاد كيفاش خص غافاش يهضرو الفروج أبيضار في دوزيم,هاد كيفاش خص غافاش يهضرو الفروج أبيضار في دوزيم
1.0,2924,وانا لم اعرف ناس جدد مادمت عندي اصدقاء بوجه جديد كل يوم,وأنا علاش نعرف ناس جدد مادام عندي ناس كل يومً يخرجولي بوجه جديد,وأنا علاش نعرف ناس جدد مادام عندي ناس كل يوم يخرجولي بوجه جديد
0.6822,2926,لماذا توقفتوا في أنغامي انها مجانية اتركوها تعمل لوحدها,علاش حبستو في انغامي ياك باطل ديروها و خلوها تمشي وحدها,علاش حبستو في انغامي ياك باطل ديروها و خلوها تمشي وحدها
1.0,2930,تتكلم وتقول ربي وهي تسب وتقذف لقد قلت لك بانها مريضة لذلك اخترنا لها بوتفليقة,كتهدر وتقول ربي وهي سب وقذف رَآه قتليك مريضه هدي هذا علاش صفطنالها بوتفليقه,كتهدر وتقول ربي وهي سب وقذف رآه قتليك مريضه هدي هذا علاش صفطنالها بوتفليقه
1.0,2931,ا سأل حنان لماذا لم تعد تسأل علينا هل نستنا و لم تعد تفكر فينا,اسأل حنان علاش ما بقيتي تسولي فينا ياك ما نسيتينا ومبقيتي تفكري فينا جبتها هي هاديك خخخ,اسأل حنان علاش ما بقيتي تسولي فينا ياك ما نسيتينا ومبقيتي تفكري فينا جبتها هي هاديك خ
1.0,2931,اسال حنان لماذا نسيتنا و لم تفكر فينا,اسأل حنان علاش ما بقيتي تسولي فينا ياك ما نسيتينا ومبقيتي تفكري فينا جبتها هي هاديك خخخ,اسأل حنان علاش ما بقيتي تسولي فينا ياك ما نسيتينا ومبقيتي تفكري فينا جبتها هي هاديك خ
1.0,2931,اسال حنان لمدا لم تسال عنا ممكن نستنا ولم تفكر فينا,اسأل حنان علاش ما بقيتي تسولي فينا ياك ما نسيتينا ومبقيتي تفكري فينا جبتها هي هاديك خخخ,اسأل حنان علاش ما بقيتي تسولي فينا ياك ما نسيتينا ومبقيتي تفكري فينا جبتها هي هاديك خ
1.0,2931,إسأل حنان لماذا لم تعودي تسألي علينا و نسيتنا و لم تعودي تفكري فينا من أين أتيتا بها,اسأل حنان علاش ما بقيتي تسولي فينا ياك ما نسيتينا ومبقيتي تفكري فينا جبتها هي هاديك خخخ,اسأل حنان علاش ما بقيتي تسولي فينا ياك ما نسيتينا ومبقيتي تفكري فينا جبتها هي هاديك خ
0.6617,2932,سلطانتهم كلهم كنت نائمة وسطهم ودفعني لصاحبه لماذا,سلطانتهم كلهم كنت ناعسة وسطهم ولا كان مدوزك لصاحبو علاش يطرطقلي عرق مال شرفي لي تشوه ههههههههههههههههه,سلطانتهم كلهم كنت ناعسة وسطهم ولا كان مدوزك لصاحبو علاش يطرطقلي عرق مال شرفي لي تشوه
0.677,2933,لماذا نحن في بلاد سيئة القوي يأكل الضعيف لا يا ماما بلادنا رائعة و فيها العدل,علاش حنا فبلاد سيبة الخرائر قوي ياكل ضعيف لا ياماما بلادنا زينة وفيها عدل,علاش حنا فبلاد سيبة الخرائر قوي ياكل ضعيف لا ياماما بلادنا زينة وفيها عدل
1.0,2937,كيف عاش جمهور النجوم فرحة التتويج بالبطولة ملعب التونسية,كيفاش عاش جمهور ليتوال فرحة التتويج بالبطولة ستاد التونسية,كيفاش عاش جمهور ليتوال فرحة التتويج بالبطولة ستاد التونسية
1.0,2944,أختي روعة لمن لديه شيء فليقم يتنزيله يظونه شفويا لا أدرى لماذا يغطون على مدمن,اختي روعة لي عندو شي حاجة ينزلها كيصحابليهوم غير شفوي معرف علاش تيغطيوا على شمكار خنوز,اختي روعة لي عندو شي حاجة ينزلها كيصحابليهوم غير شفوي معرف علاش تيغطيوا على شمكار خنوز
1.0,2949,تركان والملك شاه ، أنا لماذا فرحت و تأثرت يا ويلي ، ابداع سمرقند,تركان والملك شاه انا علاش فرحت وتاثرت اويلي خيال هالمسلسل ابداع سمرقند,تركان والملك شاه انا علاش فرحت وتاثرت اويلي خيال هالمسلسل ابداع سمرقند
0.6531,2951,مسلسل سمرقند الممثلة  أمل بوشوشة لؤلؤة سمرقند الوحش كيف يشعر بألم في بطنه يا زبيدة,سمرقند أمل بوشوشة لؤلؤة سمرقند غول كيفاش يحس بالم في بطنه يا زبيدة,سمرقند أمل بوشوشة لؤلؤة سمرقند غول كيفاش يحس بالم في بطنه يا زبيدة
1.0,2955,قولي لي في الخاص مذا فعل لها لماذا هم متسترين عليه,قولي ليا ف لخاص شنو دار ليها علاش ساترين عليه,قولي ليا ف لخاص شنو دار ليها علاش ساترين عليه
1.0,2957,كنزة ارجوكيى سنابشات لكي نرى كيف تمضين رمضان خارج الجزائر,كنزة بليز سناب شات نشوفو كيفاش راكي تجوزي رمضان خارج الجزائر,كنزة بليز سناب شات نشوفو كيفاش راكي تجوزي رمضان خارج الجزائر
0.6512,2968,لماذا انتم قصدكم لا يهرب عليكم الضي,علاش انتم قصدك مايهربش عليكم ضي,علاش انتم قصدك مايهربش عليكم ضي
1.0,2970,لم افهم لماذا مريم الزعيمي دائما تعض شفاهها؟ هل هي دائما ممحونة او ماذا؟,مافهمتش علاش مريم الزعيمي ديما تاتعض شنافتها واش ديما هورني ولا كيفاش,مافهمتش علاش مريم الزعيمي ديما تاتعض شنافتها واش ديما هورني ولا كيفاش
0.674,2972,لماذا كاعمة مدخل ناصر شادلي,علاش گاعمة مدخل ناصر شادلي,علاش گاعمة مدخل ناصر شادلي
1.0,2975,كيف نقول ناكر الخير بالفرنسية,كيفاش ايقولو لنكار الخير بالفرنسية,كيفاش ايقولو لنكار الخير بالفرنسية
0.6819,2977,شغلت السناب لكن لكيكة الكراميل لماذا العفو  لقد نفذ رصيدي بسببك با حيوانة,مدايرة سناب بس لكيكة كراميل علاش العفو رصيدي تم في جرتك ياحيوانة,مدايرة سناب بس لكيكة كراميل علاش العفو رصيدي تم في جرتك ياحيوانة
0.6577,2978,عبدالعزيز عبدالله نعم على حسب الشخص ناس تحب وناس تكره لكن لماذا خائب بالعكس جميلة مثلك,عبدالعزيز عبدالله اي على حسب الشخص ناس تحب وناس تكره بس علاش خايبه بالعكس زوينه بحالك,عبدالعزيز عبدالله اي على حسب الشخص ناس تحب وناس تكره بس علاش خايبه بالعكس زوينه بحالك
1.0,2979,إخوتي أريد اعجاب و تعليق  مجاني ولماذا نقص تفاعل هكذا اين أوفياء الصفحة,خاوتي جام و كمنتار ياك باطل و علاش نقص تفاعل هكا اين اوفياء الصفحه,خاوتي جام و كمنتار ياك باطل و علاش نقص تفاعل هكا اين اوفياء الصفحه
0.6753,2982,نحن نفهم بعض الكلمات الصينية واليابانية فلماذا لا أحد يفهم اللهجة الجزائرية ؟,حتى الصينية والكورية رانا نفهمو منها كلمات كيفاش الجزائرية واحد لا يفهمها يا إلهي,حتى الصينية والكورية رانا نفهمو منها كلمات كيفاش الجزائرية واحد لا يفهمها يا إلهي
0.6682,2986,جزائرية دعوة حب  كيف لنا أن نحترمها فقد غلبها رمضان,جزائرية دعوة حب كيفاش هذي نحترموها هههههه روحي تداوي و لا غلبك رمضان,جزائرية دعوة حب كيفاش هذي نحترموها روحي تداوي و لا غلبك رمضان
1.0,2987,الشراحة دائما أتعاطف مع ايطاليالماذا الله أعلم المهم أريدهم أن يربحوا,الصراحة من ديما كانتعاطف مع إيطاليا علاش ماعرفتش الله أعلم الموهيم كانبغيهوم يربحوا,الصراحة من ديما كانتعاطف مع إيطاليا علاش ماعرفتش الله أعلم الموهيم كانبغيهوم يربحوا
1.0,2987,الصراحة انا دائما ما اتعاطف مع ايطاليا لماذا لا اعرف الله اعلم المهم اريدهم ان يفوزوا,الصراحة من ديما كانتعاطف مع إيطاليا علاش ماعرفتش الله أعلم الموهيم كانبغيهوم يربحوا,الصراحة من ديما كانتعاطف مع إيطاليا علاش ماعرفتش الله أعلم الموهيم كانبغيهوم يربحوا
1.0,2987,الصراحة  دائما  اتعاطف مع إيطاليا لا اعلم لماذا الله أعلم المهم احبهم ان يربحوا,الصراحة من ديما كانتعاطف مع إيطاليا علاش ماعرفتش الله أعلم الموهيم كانبغيهوم يربحوا,الصراحة من ديما كانتعاطف مع إيطاليا علاش ماعرفتش الله أعلم الموهيم كانبغيهوم يربحوا
1.0,2992,هاجر جزائرية وافتخر لماذا لم يعجبك؟,هاجر جزائرية وافتخر علاش ماعجبكش,هاجر جزائرية وافتخر علاش ماعجبكش
1.0,2993,لماذا لم يقم بحظري ربما أكون موزمبيقية عيب عليكم هذا في رمضان,علاش مبلوكانيش لنكون انا موزمبيقية عيب عليكم فهاد رمضان,علاش مبلوكانيش لنكون انا موزمبيقية عيب عليكم فهاد رمضان
1.0,2999,آه لو تعرفوا كيف يستهزأ الغرب و أوروبا بكم,اخ لو تعرفو اروبا و الغرب كيفاش يتمسخروا بيكم هههههههه,اخ لو تعرفو اروبا و الغرب كيفاش يتمسخروا بيكم
1.0,2999,أخي لو تعلمون كيف يسخر أروبا والغرب منكم,اخ لو تعرفو اروبا و الغرب كيفاش يتمسخروا بيكم هههههههه,اخ لو تعرفو اروبا و الغرب كيفاش يتمسخروا بيكم
1.0,2999,اه لو تعرفو اروبا و الغرب كيف يسخروا منكم,اخ لو تعرفو اروبا و الغرب كيفاش يتمسخروا بيكم هههههههه,اخ لو تعرفو اروبا و الغرب كيفاش يتمسخروا بيكم
1.0,2999,اخ لو تعرفو اروبا و الغرب كيف يستهزؤون منكم,اخ لو تعرفو اروبا و الغرب كيفاش يتمسخروا بيكم هههههههه,اخ لو تعرفو اروبا و الغرب كيفاش يتمسخروا بيكم
1.0,3000,وفاة شقيق بن علي لماذا صورة  بن علي,وفاة شقيق بن علي علاش تصويرة بن علي,وفاة شقيق بن علي علاش تصويرة بن علي
1.0,3003,ما عملنا ولا شيء فعلا هذا الشيء لماذا نحترم ونشجع ايهاب ودائما معه ما عملنا شيء,مادرنا والو فعلا هدشي علاش ش كنحتارم و نشجع إهاب و ديما معاه مادرنا والو,مادرنا والو فعلا هدشي علاش ش كنحتارم و نشجع إهاب و ديما معاه مادرنا والو
1.0,3005,كلامه خطير بخصوص بنغازي لماذا لا يوجد من  يرد عليه من الداخل,كلامه خطير بخصوص بنغازي علاش ما فيش من يردعه من الداخل,كلامه خطير بخصوص بنغازي علاش ما فيش من يردعه من الداخل
0.6822,3006,لماذا تنظر الى الساعة كل فترة من الوقت و لديك التوقيت في تايم لاين,علاش تشوف للساعة كل شوية و عندك في التايم لاين,علاش تشوف للساعة كل شوية و عندك في التايم لاين
1.0,3007,لماذا ماذا قلت كل شيء موجود في الصورة لم أكذب و أقول كلام من عندي,علاش واش قلت كل شيء موجود في الصورة ما كذبتش من عندي,علاش واش قلت كل شيء موجود في الصورة ما كذبتش من عندي
1.0,3007,قلت كل شيء موجود في الصورة ما كذبت,علاش واش قلت كل شيء موجود في الصورة ما كذبتش من عندي,علاش واش قلت كل شيء موجود في الصورة ما كذبتش من عندي
1.0,3007,انا لم أقل شيئا كان كل شيء موجود في الصورة فأنا لم أكذب من تلقاء نفسي,علاش واش قلت كل شيء موجود في الصورة ما كذبتش من عندي,علاش واش قلت كل شيء موجود في الصورة ما كذبتش من عندي
1.0,3011,غزة إذن لماذا جننتم عندما لم تدخل حزب الله إلى سوريا,غزة اذن علاش جنيتوا كي مادخلتش ب حزب الله وبسوريا,غزة اذن علاش جنيتوا كي مادخلتش ب حزب الله وبسوريا
0.6719,3014,الاسلة الوجودية لماذا نقوم بعملها كلما انهض من النوم اين انا من انا انا لماذا نمت,الاسله الوجوديه لي ضروري نسولها كلما كانفيق من نعاس فين انا شكون انا علاش نعست,الاسله الوجوديه لي ضروري نسولها كلما كانفيق من نعاس فين انا شكون انا علاش نعست
0.6719,3014,الاسئلة الوجودية التي ضروري نسألها كلما استفقت من نعاس اين انا من انا لماذا نعست,الاسله الوجوديه لي ضروري نسولها كلما كانفيق من نعاس فين انا شكون انا علاش نعست,الاسله الوجوديه لي ضروري نسولها كلما كانفيق من نعاس فين انا شكون انا علاش نعست
1.0,3014,الاسئلة الوجودية التي من الضروري نسئلها كلما كان استيقاضنا من النوم هو اين انا ومن انا ولماذا نمت,الاسله الوجوديه لي ضروري نسولها كلما كانفيق من نعاس فين انا شكون انا علاش نعست,الاسله الوجوديه لي ضروري نسولها كلما كانفيق من نعاس فين انا شكون انا علاش نعست
1.0,3021,جهاد نعم هي سهلة لا أعرف لماذا لا يفهمونها,جهاد ايه نعم هي سهلة منعرفش علاش ميفهموهاش,جهاد ايه نعم هي سهلة منعرفش علاش ميفهموهاش
1.0,3026,جمال خلاف لماذا يوجد حظر على الكذب الان وبعد المغرب نزيل الحظر,جمال خلاف علاش يعني كاين حظر على الكذب الان وبعد المغرب نزيل الحظر,جمال خلاف علاش يعني كاين حظر على الكذب الان وبعد المغرب نزيل الحظر
1.0,3027,لمصلحتكم اضغط أعجبني أقول لكم لما ببساطة لنفترض حدوث جريمة و اتهموك فيها,لمصلحتكم ديرو جام نقولكم علاش ببساطةً لنفترض حدوث جريمة و اتهموك فيها بعيد الشر عليكم,لمصلحتكم ديرو جام نقولكم علاش ببساطة لنفترض حدوث جريمة و اتهموك فيها بعيد الشر عليكم
0.9212,3027,لمصلحتكم اضغط أعجبني أقول لكم لما ببساطة لنفترض حدوث جريمة و اتهموك فيها,لمصلحتكم ديرو جام نقولكم علاش ببساطةً لنفترض حدوث جريمة و اتهموك فيها بعيد الشر عليكم,لمصلحتكم ديرو جام نقولكم علاش ببساطة لنفترض حدوث جريمة و اتهموك فيها بعيد الشر عليكم
1.0,3028,كيف دمرت داعش آثار العراق؟,ها كيفاش دمرات داعش اثار العراق,ها كيفاش دمرات داعش اثار العراق
0.6875,3028,كيف دمرت داعش اثار  العراق,ها كيفاش دمرات داعش اثار العراق,ها كيفاش دمرات داعش اثار العراق
1.0,3030,طريف قرد جن على الشرطة في ساحة جامع الفناء ولماذا,طريف قرد ترمضن على البوليس في ساحة جامع لفنا وها علاش,طريف قرد ترمضن على البوليس في ساحة جامع لفنا وها علاش
1.0,3032,عاشور صدقني فعلوها من قبلك كثيريأتون يسألونني يقولون لي لماذا يهرب الضي,عَاشّورْ صدقني داروها قبلك هلبا يجو يسألو فيا يقولولي علاش يهرب الضي,عاشور صدقني داروها قبلك هلبا يجو يسألو فيا يقولولي علاش يهرب الضي
1.0,3033,كيف من بلاغ الداخلية إلى إلغاء انتخاب المستشارين ميزان الاستقلال يفقد التوازن كيف,كيفاش من بلاغ الداخلية إلى إلغاء انتخاب المستشارين ميزان الاستقلال يفقد التوازن كيفاش,كيفاش من بلاغ الداخلية إلى إلغاء انتخاب المستشارين ميزان الاستقلال يفقد التوازن كيفاش
1.0,3037,لماذا لم تخبروني حتى أرافقكم,علاش ماقلتوليش نمشي معاكم اخس,علاش ماقلتوليش نمشي معاكم اخس
1.0,3038,كيف انتقم تلميذ من أستاذة قطعت عليهم الماء و الكهرباء في امتحانات الباكالوريا كود جريدة,ها كيفاش انتاقم تلميذ من أستاذة قطعت عليهم الما والضو فامتحانات الباكالوريا كود جريدة,ها كيفاش انتاقم تلميذ من أستاذة قطعت عليهم الما والضو فامتحانات الباكالوريا كود جريدة
1.0,3039,انا لماذا درست طب لكن المطبخ شيء جميل فعلا,انا علاش قريت طب بس المطبخ شي جميل والله,انا علاش قريت طب بس المطبخ شي جميل والله
1.0,3039,لماذا درست الطب الطبخ شيء جميل والله,انا علاش قريت طب بس المطبخ شي جميل والله,انا علاش قريت طب بس المطبخ شي جميل والله
1.0,3039,لماذا قرءت الطب ولكن المطبخ شي جميل والله,انا علاش قريت طب بس المطبخ شي جميل والله,انا علاش قريت طب بس المطبخ شي جميل والله
1.0,3040,حبيبي هكذا انا  التقيت مع كبور,لحبيب ها كيفاش تلاقيت مع كبور,لحبيب ها كيفاش تلاقيت مع كبور
1.0,3045,لا أدري لماذا  منشورات محمد بوحميدة حول الزواج تستفز المتزوجين هل هناك شيء غير مفهوم,معرفتش علاش منشورات محمد بوحميدة حول الزواج تستفز المتزوجين شي حاجة ماشاداش,معرفتش علاش منشورات محمد بوحميدة حول الزواج تستفز المتزوجين شي حاجة ماشاداش
1.0,3046,كيف الرباح بعض التحاليل تُنظر للفتنة,كيفاش الرباح بعض التحاليل تُنظر للفتنة كيفاش,كيفاش الرباح بعض التحاليل تنظر للفتنة كيفاش
1.0,3048,كيف مجلس المستشارين نقابتان تنسحبان من جلسة مناقشة قوانين التقاعد صور كيف,كيفاش مجلس المستشارين نقابتان تنسحبان من جلسة مناقشة قوانين التقاعد صور كيفاش,كيفاش مجلس المستشارين نقابتان تنسحبان من جلسة مناقشة قوانين التقاعد صور كيفاش
1.0,3050,بالدموع لماذا المسلسلات الهزلية التي لا تضحك و نحن عندنا هذا الكنز يوكان رن بطيو,هههههههههههههههه بالدموع علاش المسلسلات الهزلية الي ما تضحكش واحنا عنا هالكنيّز يو كان ررررن بط يو,بالدموع علاش المسلسلات الهزلية الي ما تضحكش واحنا عنا هالكنيز يو كان رن بط يو
1.0,3051,اللاعب ديغو كوسطا لماذا لم يلعب,ديغو كوسطا علاش ما لاعبش,ديغو كوسطا علاش ما لاعبش
0.668,3055,الكانتارا أفضل منه ديل بوسكي يلعب بالأسماء إني حائر كيف دخل أريد تفسير,الكانتارا خير منو ديل بوسكي يلعب بالاسماء راني حاير كيفاش دخل بدي خيا,الكانتارا خير منو ديل بوسكي يلعب بالاسماء راني حاير كيفاش دخل بدي خيا
0.696,3056,إنني عالقة لم أعرف كيف أتصرف,راني حاصلةة في معرفتش كيفاش يخدمو جدهم,راني حاصلةة في معرفتش كيفاش يخدمو جدهم
0.651,3056,إني متورطة في لم اعرف كيف يعملوه,راني حاصلةة في معرفتش كيفاش يخدمو جدهم,راني حاصلةة في معرفتش كيفاش يخدمو جدهم
0.67,3056,انا في ورطة  لا اعرف كيف استخدمهم جدي,راني حاصلةة في معرفتش كيفاش يخدمو جدهم,راني حاصلةة في معرفتش كيفاش يخدمو جدهم
0.6786,3058,كيف اذا اقلتوا لي المغسي التخلف يركب في الجماعة يا احبابي,كيفاش مالا قلتولي المغسى ٪ التخلف يركب فالجماعي ياحبيبي,كيفاش مالا قلتولي المغسى ٪ التخلف يركب فالجماعي ياحبيبي
1.0,3059,كيف حالك مع اتعاب ومشاق المطبخ,كيفاش راكي دايرة في الكوزينة,كيفاش راكي دايرة في الكوزينة
0.6725,3061,عاجل الصوم يؤدي الى معركة بالسيوف بين الجزائريين في مراكش كيف كانت النهاية,عاجل ها الترمضين ديال بصح معركة بين جزارين بالأسلحة البيضاء بمراكش وها كيفاش كانت النهاية,عاجل ها الترمضين ديال بصح معركة بين جزارين بالأسلحة البيضاء بمراكش وها كيفاش كانت النهاية
1.0,3065,سراج أليس الدرناوية أكثر أصولهم من الغرب لهذا هي تطهو جيدا الجميلة,سراج ماهو الدرناوية اكثر اصولهم من الغرب هدا علاش تطيب كويس زينا,سراج ماهو الدرناوية اكثر اصولهم من الغرب هدا علاش تطيب كويس زينا
