id,msa_verified,tweet,cleanedtweet2
9083,هم يعرفون أنهم مقصرون بحقنا ولذلك فهم صامتون,همه عارفين انهم مقصرين معنا مشان هيك ساكتين .,همه عارفين انهم مقصرين معنا مشان هيك ساكتين
9083,هم يعرفون أنهم مقصرون بحقنا لذلك يسكتون,همه عارفين انهم مقصرين معنا مشان هيك ساكتين .,همه عارفين انهم مقصرين معنا مشان هيك ساكتين
9137,لكي تضمني حقك بالضبط هكذا,@_D_209 عشان تضمني حقك بالزبط هيك 😂,عشان تضمني حقك بالزبط هيك
9187,يمني وتقول ماذا تريدون يا شيعي يا خبيث هنا سلمان الحزم يضربكم بالحذاء,يمني وتقول شو بدكم !! يا شيعي يا نجس هنا سلمان الحزم يعطيكم بالجزمه   @JosephJo1221 @DrJaiash,يمني وتقول شو بدكم يا شيعي يا نجس هنا سلمان الحزم يعطيكم بالجزمه
9189,هناك أناس يفتحون تويتر من أجل كتابة صباح الخير ومساء النور,في ناس فاتحه التويتر مشان تكتب صباح الخير ومسا النور 😒,في ناس فاتحه التويتر مشان تكتب صباح الخير ومسا النور
9189,بعض الناس يستخدمون موقع تويتر فقط ليكتبوا صباح الخير ومساء النور,في ناس فاتحه التويتر مشان تكتب صباح الخير ومسا النور 😒,في ناس فاتحه التويتر مشان تكتب صباح الخير ومسا النور
9197,لماذا أرهقت يدها على الفيس بوك؟ هكذا تقولي عنها؟,@MariamJ90051418 @timakanso 😂😂😂😂 وليه هلكت إيدها عالفايس بوك هيك بتقولي عنها ؟!!! 😂,وليه هلكت إيدها عالفايس بوك هيك بتقولي عنها ؟
9197,ولماذا أرهقت يدها في الفيسبوك؟ هكذا تقولين عنها,@MariamJ90051418 @timakanso 😂😂😂😂 وليه هلكت إيدها عالفايس بوك هيك بتقولي عنها ؟!!! 😂,وليه هلكت إيدها عالفايس بوك هيك بتقولي عنها ؟
9234,هل يوجد أجمل من هؤلاء الناس؟ هذه مثلا,في احلى من هيك ناس 😍 هيا مثلا,في احلى من هيك ناس هيا مثلا
9246,أنت أحمق ماذا تريد باسمي؟,@qwertzxcv11 @abas_lin @Dooor__f @SaudiNews50 هههه انته اهبل شو بدك بسمي,انته اهبل شو بدك بسمي
9259,هل قال لك شخص آخر إنك إنسان مثلك مثل أي إنسان آخر لذلك لماذا تتباهى؟,#حدا_قلك_انك انسان متلك متل اي انسان تاني كرمال هيك على شو شايف حالك,حدا قلك انك انسان متلك متل اي انسان تاني كرمال هيك على شو شايف حالك
9259,هل قال لك أحد أنك إنسان مثل أي إنسان آخر؟ لهذا لماذا تتكبر؟,#حدا_قلك_انك انسان متلك متل اي انسان تاني كرمال هيك على شو شايف حالك,حدا قلك انك انسان متلك متل اي انسان تاني كرمال هيك على شو شايف حالك
9312,أنا لا أصدق نفسي يا رجل أحسنت صفقوا لها كثيرا,#haidymoussa انا مش مصدق نفسى يا زلمة برافو وزقفوا لها كتير,انا مش مصدق نفسى يا زلمة برافو وزقفوا لها كتير
9312,أنا لم أصدق نفسي يا رجل أحسنت وصفقوا لها كثيرا,#haidymoussa انا مش مصدق نفسى يا زلمة برافو وزقفوا لها كتير,انا مش مصدق نفسى يا زلمة برافو وزقفوا لها كتير
9321,كلامك لنسيم يقويه ونحن نريد تقييمك له أن يكون أصعب من ذلك,@StaracArabia @HadiiSharara @Nassim_Raissi كلامك لنسيم يقويه و احنا هيك بدنا تقييمك ليه يكون اصعب,كلامك لنسيم يقويه و احنا هيك بدنا تقييمك ليه يكون اصعب
9336,أريد أن أظل أقول لك هل أنتم هكذا أرخص أو قد قمتم بعمل عرض خاص,#بدي_ابقى_قللك ن انتوا هيك رخاص او عاملين عرض خاص,بدي ابقى قللك ن انتوا هيك رخاص او عاملين عرض خاص
9354,أريد أن أنشر بعض الأشياء هكذا بخطي السريع ولكن زيدوا من إعادة التغريد لأنني أحبه,بدي انزل كم شغلة هيك بخطي عالسريع  بس يعني كترولي من الرتويت عشان بحبه,بدي انزل كم شغلة هيك بخطي عالسريع بس يعني كترولي من الرتويت عشان بحبه
9386,أيتها الغبية ماذا تريدين من هذا الدواء؟ أنا أساعده على الانتحار فقط ولكن بأسلوب راق قليلا,@685c510eeded49e @m7taref @MousaKholod @3uqla @smile_toot  ياغبيه شو بدك في هالدواء انا بساعدو ينتحر بس باسلوب راقي شوي 👻👻👻,ياغبيه شو بدك في هالدواء انا بساعدو ينتحر بس باسلوب راقي شوي
9386,يا غبية ماذا تريدين بهذا الدواء؟ أنا أساعده على الانتحار ولكن بأسلوب راق قليلا,@685c510eeded49e @m7taref @MousaKholod @3uqla @smile_toot  ياغبيه شو بدك في هالدواء انا بساعدو ينتحر بس باسلوب راقي شوي 👻👻👻,ياغبيه شو بدك في هالدواء انا بساعدو ينتحر بس باسلوب راقي شوي
9398,نريد كله هكذا نفس الحجاب ممتد على جماعة طلائع النور,@AbeDroubi @HeathersDiary بدنا gang هيك كلو نفس الحجاب منشطح عجماعة طلائع النور,بدنا هيك كلو نفس الحجاب منشطح عجماعة طلائع النور
9424,لا يجوز أن نقول آكلة الكبود للعلم الرسول هو الذي قال ذلك وليس نحن,"@Rashdanian @AbdullahMuhsen1 @WWahshat  ما بصير نحكي ""اكلة الكبود""؟!!!!  ترى لمعلوماتك الرسول الي حكى هيك مش احنا",ما بصير نحكي اكلة الكبود ؟ ترى لمعلوماتك الرسول الي حكى هيك مش احنا
9431,يعني هنالك أشياء تراها ولا تعرف إن كنت ستضحك من التفاهة أم تبكي من المغص,يعني في شغلات هيك بتشوفها ما بتعرف تضحك من التفاهة ولا تبكي من المغص؟!,يعني في شغلات هيك بتشوفها ما بتعرف تضحك من التفاهة ولا تبكي من المغص؟
9431,هناك أشياء تراها لا تعرف إن كنت تضحك من التفاهة أم تبكي من المغص,يعني في شغلات هيك بتشوفها ما بتعرف تضحك من التفاهة ولا تبكي من المغص؟!,يعني في شغلات هيك بتشوفها ما بتعرف تضحك من التفاهة ولا تبكي من المغص؟
9439,أين كرامتكم؟ تدرسون ليل نهار لأجل امتحان مدته ساعتان,بتدرسو اسبوعين ليل نهار مشان امتحان ساعتين، وين كرامتكم !😂,بتدرسو اسبوعين ليل نهار مشان امتحان ساعتين وين كرامتكم
9493,يا للأسف يا مي هل حقا أجبت هكذا؟,@meoosh66 @ShahdShamta ياحراااااام يا مي هلق هيك انتي جاوبتي,ياحرام يا مي هلق هيك انتي جاوبتي
9546,أحم أحم نعم هكذا غيري لهجتك واسمعيني أنك ندمانة يا سيدي,@meoosh66 @ShahdShamta احم احم ايوااا هيك ها غيري اللهجه وسمعيني ندمان ياسيدي,احم احم ايوا هيك ها غيري اللهجه وسمعيني ندمان ياسيدي
9556,الآخرون هكذا صحيح لأنها مبتدأ مرفوع بالواو,@miraculous307 @iRamini89 الاخرون هيك مزبوط...لانها مبتدأ مرفوع بالواو👍,الاخرون هيك مزبوط لانها مبتدأ مرفوع بالواو
9595,يا رجل هم الصوفيه هكذا هم فجاه ياتيهم الالهام و يقوموا بفتح التويتر و يكتبوا تغريدات,@ashour يا زلمة هنن الصوفية هيك فجأة بيجهم التجلي ف بيفتحوا تويتر وبيغردوا :),يا زلمة هنن الصوفية هيك فجأة بيجهم التجلي ف بيفتحوا تويتر وبيغردوا
9616,هل بقي احد يتحدث بهذا يا تسنيم,@tasneem_obeid3 @iOmarkousa ضل حد يحكي هيك يا تسنيم؟,ضل حد يحكي هيك يا تسنيم؟
9616,هل بقي أحد يتكلم هكذا يا تسنيم,@tasneem_obeid3 @iOmarkousa ضل حد يحكي هيك يا تسنيم؟,ضل حد يحكي هيك يا تسنيم؟
9623,لا أذكر بالضبط لكن أعتقد أنه قال قبل الأخبار إن شاء الله لم تشاهده,@alixfusion مش زاكرة بالزبط بس بعتقد قبل أخبار ال ١١:٣٠ هيك شي 😁 انشالله ما حضرتوووو!!!,مش زاكرة بالزبط بس بعتقد قبل أخبار ال ١ هيك شي انشالله ما حضرتو
9625,والله يا ليت لو نستطيع أن نفعل ذلك,@littleninibear @exolforever12w1  والله يا ريت لو منقدر نعمل هيك هههههههههههههههههه...,والله يا ريت لو منقدر نعمل هيك
9645,من أجل الله يا أجنبي لا تتدخل ونحن بألف خير,@alhayatdaily هو مشان الله يا افرنجي لا تتدخل واحنا بألف خير,هو مشان الله يا افرنجي لا تتدخل واحنا بألف خير
9646,نعم فهي أجمل شيء لذلك أعجبتني بشدة شكرا لك شكرا لك,@WaWinter15 هههه اه مهي احلى اشي عشان هيك عاجبيتني😂😂🙈شكرا شكرا 👏🏻😁🌹,اه مهي احلى اشي عشان هيك عاجبيتني شكرا شكرا
9647,وظلت تبكي لعلها ترتاح فلم ترتح بل ظلت تبكي,"-#وضلت تبكي مشان ترتاح "" -ورتاحت ! -لا بس ضلت #تبكي 😞 """,وضلت تبكي مشان ترتاح ورتاحت لا بس ضلت تبكي
9647,وبقيت تبكب لأجل ان ترتاح ولم ترتح بل بقيت تبكي,"-#وضلت تبكي مشان ترتاح "" -ورتاحت ! -لا بس ضلت #تبكي 😞 """,وضلت تبكي مشان ترتاح ورتاحت لا بس ضلت تبكي
9658,اتركوني جائعا حتى تذهبوا لتتعشوا ويظهر لكم كرش وهو لا,راميني بجوّع فيكم مشان تروحوا تتعشوا ويطلعلكم كرش وهو لأ.. 😂😂,راميني بجوع فيكم مشان تروحوا تتعشوا ويطلعلكم كرش وهو لأ
9671,عقبال كل العرب يفعلون هكذا السعودية تقطع علاقتها بإيران,عقبال عند العرب كلهم يعملو هيك #السعوديه_تقطع_علاقتها_بايران,عقبال عند العرب كلهم يعملو هيك السعوديه تقطع علاقتها بايران
9671,عقبال عند العرب جميعا أن يفعلوا هكذا السعودية تقطع علاقتها بإيران,عقبال عند العرب كلهم يعملو هيك #السعوديه_تقطع_علاقتها_بايران,عقبال عند العرب كلهم يعملو هيك السعوديه تقطع علاقتها بايران
9683,سبحان الله من المصادفة أن قلوبنا جميعا طيبة لهذا نحن متفاهمون,@helallah @kayal40 @zouhourmalti1 @SoonaMaatouk @melbardisi1 @mmema39 @SallimSila7ak سبحان الله مساقب ان قلبنا كلنا طيب منشان هيك متفاهمين,سبحان الله مساقب ان قلبنا كلنا طيب منشان هيك متفاهمين
9719,مشكلتنا أننا لا نتطلع إلى الأمام لذلك عندما يأتي الوقت لن نعرف كيف نتصرف,مشكلتنا انو م بنطلع لقدام عشان هيك بس يجي قدام م بنعرف نتصرف !,مشكلتنا انو م بنطلع لقدام عشان هيك بس يجي قدام م بنعرف نتصرف
9719,مشكلتنا أننا لا ننظر إلى الأمام لذلك عندما يأتي المستقبل لا نعرف كيف نتصرف,مشكلتنا انو م بنطلع لقدام عشان هيك بس يجي قدام م بنعرف نتصرف !,مشكلتنا انو م بنطلع لقدام عشان هيك بس يجي قدام م بنعرف نتصرف
9733,باسم الله لم أر معجبين محترمين أكثر من هؤلاء المعجبين المحترمين,@511mgood1 @Miryam_Tripoli @MarieJoeHelou1 @lateen_17 @MarwanYoussefF1 اسم الله ملا فانز محترم اكتر من هيك فانز محترم ما شفت 👏👏👏,اسم الله ملا فانز محترم اكتر من هيك فانز محترم ما شفت
9780,وأنت الصادق أصبحت هكذا صباح الخير,@s_aljeez   ههههه و انت الصادق ... صارت هيك   سباح الخير,و انت الصادق صارت هيك سباح الخير
9784,دعها وشأنها هذه الدنيا عبارة عن فوضى,خلي ولي دونيا هيك خربوطة.,خلي ولي دونيا هيك خربوطة
9784,اترك هذه الدنيا هكذا هي فوضى,خلي ولي دونيا هيك خربوطة.,خلي ولي دونيا هيك خربوطة
9788,ألم يكن من الأفضل أن ينتظر حتى الصيف ثم يسأل هذا السؤال,@EsmaelSyria 😅😅😅اي موووو كان يستنى للصيف ويسأل هيك صؤال,اي مو كان يستنى للصيف ويسأل هيك صؤال
9807,لا يوجد ما هو مميز سهر هكذا بلا طعم,لا يوجد ما هو مميز سهر هيك بس ساده لحاله.,لا يوجد ما هو مميز سهر هيك بس ساده لحاله
9807,لا يوجد شيء مميز مجرد سهر بلا معنى,لا يوجد ما هو مميز سهر هيك بس ساده لحاله.,لا يوجد ما هو مميز سهر هيك بس ساده لحاله
9817,ماذا تريدني أن أقول؟ أنا هكذا أحب من يحبني ولا أخفض رأسي لأحد خانني,@rayanalyasmeen @FaresSofia @SilvanaIssa @Fares__Karam شو بدك اقول انا هيك بحب لي بيحبني وما بوطي رأسي لحدا خاني,شو بدك اقول انا هيك بحب لي بيحبني وما بوطي رأسي لحدا خاني
9870,مستغرب أكثر ماذا تريد؟ لم أحب أحدا بقدرك,- مستغرب أكتر شو بدك مآ حدا حبيتو قدك  ،،,مستغرب أكتر شو بدك مآ حدا حبيتو قدك
9882,هذا هو الواقع المرير إذا ماذا سنفعل؟ هل نبقى هكذا بدون حب؟,@apokaalod هذا الواقع المرير بعد شنسوي نظل هيك بدون حب اصرف,هذا الواقع المرير بعد شنسوي نظل هيك بدون حب اصرف
9886,من حقك أن تتفق معها على ذلك لكني أتكلم عن أن ما أراه عمل المرأة عيب,@ttggs86_tg حقك تتفق ع هيك معها بس عم بحكي عن الي بشوفو شغل الست عيب ..!,حقك تتفق ع هيك معها بس عم بحكي عن الي بشوفو شغل الست عيب
9893,برود الأعصاب الذي عندي في هذه الفترة لا أعلم من أين أتى من فضلكم,برود الاعصاب الي عندي هالفترة من وين اجاني مشان الله 🌚😅,برود الاعصاب الي عندي هالفترة من وين اجاني مشان الله
9917,وأنا جالسة أرى ما خططته للخروج مساء لأنني أريد أن أنام وليلا أضيع الوقت,@dndn_dabous @f7stepup و انا قاعدة بشوف شو خططت لطلعة المسا مشان بدي نام و المسا بصيع 👏,و انا قاعدة بشوف شو خططت لطلعة المسا مشان بدي نام و المسا بصيع
9925,إلى جهنم وبئس المصير على هؤلاء الحمير,@2002z61a @1954moon الا جهنم وباس المصير علا هيك حمير,الا جهنم وباس المصير علا هيك حمير
9925,إلى جهنم وبئس المصير على هكذا حمير,@2002z61a @1954moon الا جهنم وباس المصير علا هيك حمير,الا جهنم وباس المصير علا هيك حمير
9969,من أجل أن تشعرنا أننا نستيقظ باكرا ونعمل في البرد وأنت لا,@aymanabu_gosh مشان تحسسنا انو نحنا صاحيين بكير و مداومين بالبرد و انت لا 😭💔,مشان تحسسنا انو نحنا صاحيين بكير و مداومين بالبرد و انت لا
9969,لكي تشعرنا أننا استيقظنا مبكرا وذهبنا للعمل في البرد وأنت لا,@aymanabu_gosh مشان تحسسنا انو نحنا صاحيين بكير و مداومين بالبرد و انت لا 😭💔,مشان تحسسنا انو نحنا صاحيين بكير و مداومين بالبرد و انت لا
9981,اسكت يا رجل أكثر من هذا سأنتحر,@_esso96 @aymanabu_gosh اسكت يا زلمة اكتر من هيك هتنتحر 😂😂😂,اسكت يا زلمة اكتر من هيك هتنتحر
10016,لماذا هكذا؟ هل الفرح ممنوع؟ لقد كنت مبسوطا,ليش هيك هو الفرح ممنوع  منا كنت مبسوط,ليش هيك هو الفرح ممنوع منا كنت مبسوط
10024,ويكفي ماذا تريد؟ أن أموت بحبك؟ والله سأموت بحبك صدقني إذا أردت فيروز,وبيكفّي ..  شو بدك انو يعني موت فيك؟!   والله رح موت فيك  صدّق اذا فيك  #فيروز,وبيكفي شو بدك انو يعني موت فيك؟ والله رح موت فيك صدق اذا فيك فيروز
10026,الله يقصف عمرك يا هويدا على هكذا تحديد,الله يئصف عمرك ياهويدا على هيك تحديد😒🛁,الله يئصف عمرك ياهويدا على هيك تحديد
10029,أقول لك لهذا السبب لا يعرفون عد الملايين التي تسرق وتركوا الأمر على البركة,@mohammad_adawi قولتك عشان هيك مش عارفين يعدوا الملاين الي بتنسرق وتاركينها ع البركة,قولتك عشان هيك مش عارفين يعدوا الملاين الي بتنسرق وتاركينها ع البركة
10032,كيف يمكن لشخص أن يطلق مخلوقا مثل هذا؟ أومق,@dndn_dabous @zeinhajahjeh كيف واحد يطلق مخلوق زي هيك اومق 💔💔💔,كيف واحد يطلق مخلوق زي هيك اومق
10032,كيف يمكن لشخص أن يترك مخلوقا مثل هذا؟ يا إلهي,@dndn_dabous @zeinhajahjeh كيف واحد يطلق مخلوق زي هيك اومق 💔💔💔,كيف واحد يطلق مخلوق زي هيك اومق
10041,ابو الربيع العربي الذي فعل ذلك بالناس,الله يلعن ابو الربيع العربي اللي عمل هيك بالناس,الله يلعن ابو الربيع العربي اللي عمل هيك بالناس
10041,لعنة الله على الربيع العربي الذي فعل هذا بالناس,الله يلعن ابو الربيع العربي اللي عمل هيك بالناس,الله يلعن ابو الربيع العربي اللي عمل هيك بالناس
10058,رأيت ما أجملك هكذا كل الحب للوزير,@zeinabatallah29 @AliAlirahall شفت ما احلاك هيك ...كل الحب للوزير😍😍,شفت ما احلاك هيك كل الحب للوزير
10066,منذ رأيت هذا وذاك وأنا أفهمه إن شاء الله تتعوض غدا ماذا لديكم,@jojo_20112 من شفت هيك وهيك  وانا فاهمه 😅 ان شاء الله تتعوض  بكرا ايش عندكم !,من شفت هيك وهيك وانا فاهمه ان شاء الله تتعوض بكرا ايش عندكم
10071,أنا أستطيع إقناعك لكنني كسول ولذلك أنت على صواب,انا بقدر أقنعك .. بس مكسل مشان هيك انت صح 🚶,انا بقدر أقنعك بس مكسل مشان هيك انت صح
10071,أستطيع أن أقنعك ولكن أشعر بالكسل لذلك أنت على صواب,انا بقدر أقنعك .. بس مكسل مشان هيك انت صح 🚶,انا بقدر أقنعك بس مكسل مشان هيك انت صح
10076,مساء الخير شكرا ابقي هكذا جمهورك يحبك لعفويتك أتمنى لك التوفيق يا عزيزتي,@shoukranmortaj1 مساء الخير شكران خليكي هيك محبه جمهورك بعفويتك بتمنالك التوفيق حبيبتي,مساء الخير شكران خليكي هيك محبه جمهورك بعفويتك بتمنالك التوفيق حبيبتي
10080,وجهها يقطع الرزق من البيت قاتل كما يقولون الله يسترنا من هكذا خلق,@lovelyman2025  وجهها يقطع الخميرة من البيت مقتل ما بقولو . الله يسترنا  من هيك خلايق 😂😂😂,وجهها يقطع الخميرة من البيت مقتل ما بقولو الله يسترنا من هيك خلايق
10091,حرام بالله لا ينفع مع هذه العينات إلا هذا العمل,@Hussein_Alfehry   حرام بالله ماينفع مع هالعينات الا هيك شغل 👌🏿,حرام بالله ماينفع مع هالعينات الا هيك شغل
10091,أقسم بالله لا ينفع مع هذه العينات إلا هذا الفعل,@Hussein_Alfehry   حرام بالله ماينفع مع هالعينات الا هيك شغل 👌🏿,حرام بالله ماينفع مع هالعينات الا هيك شغل
10172,شكرا شكرا لا داعي أن تحرجني أكثر من هذا,@Mdarwish_98 شكراً شكراً مافي داعي تحرجني اكتر من هيك !😂🔫,شكرا شكرا مافي داعي تحرجني اكتر من هيك
10172,شكرا جزيلا ما من داعي لأن تحرجني أكثر من ذلك,@Mdarwish_98 شكراً شكراً مافي داعي تحرجني اكتر من هيك !😂🔫,شكرا شكرا مافي داعي تحرجني اكتر من هيك
10178,كوميدي أم ممثل أم شيء آخر؟ ما هو التصنيف حتى نكون على علم؟,كوميدي ولا ممثل ولا ناشط ولا شو التصنيف مشان نعرف ؟,كوميدي ولا ممثل ولا ناشط ولا شو التصنيف مشان نعرف ؟
10178,كوميدي أم ممثل أم ناشط أم ماذا؟ ما هو التصنيف لكي نعرف؟,كوميدي ولا ممثل ولا ناشط ولا شو التصنيف مشان نعرف ؟,كوميدي ولا ممثل ولا ناشط ولا شو التصنيف مشان نعرف ؟
10239,أنا شهادتي فيه مجروحة سيدتي لا أستطيع أن أراه إلا بهذه الصورة,@embahaa4 @Waleed1559 انا شهادتي مجروحة فيه ستنا ما فيي شوفو غير هيك 😍😍😍,انا شهادتي مجروحة فيه ستنا ما فيي شوفو غير هيك
10251,لا تقل لي طول بالك هكذا أطول شيء زياد,ماتقلي طول بالك هيك أطول شي ..  #زياد,ماتقلي طول بالك هيك أطول شي زياد
10257,أيمن يستعطي ناخبين وأنا لم أفعل ذلك فالذين انتخبوني انتخبوني بكامل إرادتهم,@aymanabu_gosh @aliQatawneh20 @SinaSoubar ايمن بشحد ناخبين 😒😒😒 انا ما عملت هيك يلي صوتولي صوتوا بكامل ارادتهم 😌,ايمن بشحد ناخبين انا ما عملت هيك يلي صوتولي صوتوا بكامل ارادتهم
10269,كل شيء يصدر منك نعم أحسده عليك أتمنى أن أجد من يحبني هكذا,@HabibaDadoun @RamyAyach @NidalAlAhmadieh 😂😂😂كلشي يطلع منك 😂 اي نيالو فيكي عقبال مالاقي حدا بيحبني هيك 😢😢😢,كلشي يطلع منك اي نيالو فيكي عقبال مالاقي حدا بيحبني هيك
10293,وأسأل الله أن تتزوج بعد سنة لأنك لا تريد ذلك عنادا,@yousefmohabbash و يا رب تتزوج كمان سنة عشان انت ما بدك هيك 😂😂  جكر 😝😝,و يا رب تتزوج كمان سنة عشان انت ما بدك هيك جكر
10305,لا تتكلم بشيء غير مقتنع به لكي تعجب الناس,لا تحكي ب اشي مش مقتنع فيه مشان تعجب الناس ✋🏻,لا تحكي ب اشي مش مقتنع فيه مشان تعجب الناس
10312,إلى متى سنظل هكذا بلا شغل ولا عمل؟,لوقتيش بدنا نضل هيك لا شغلة ولا عملة 😏,لوقتيش بدنا نضل هيك لا شغلة ولا عملة
10312,إلى متى سنبقى هكذا بلا شغل ولا عمل,لوقتيش بدنا نضل هيك لا شغلة ولا عملة 😏,لوقتيش بدنا نضل هيك لا شغلة ولا عملة
10326,ويفضل كالعادة الحل الامثل للحالات التى تشبه ذلك انى اكل وانام,ويفضل كالعادة الحل الامثل للحالات اللي زي هيك اني اكل وانام..,ويفضل كالعادة الحل الامثل للحالات اللي زي هيك اني اكل وانام
10348,لا يناسبك الغضب حتى يبقى وجهك محافظا على أنوثتك,@meoosh66 ما بواتيكي التعصيب مشان وشك يضل محافظ عانوثتك,ما بواتيكي التعصيب مشان وشك يضل محافظ عانوثتك
10352,لا يجوز أن تتكلم هكذا على الزمن,@ladyMyrvat  ما بجوز تحكي هيك على الزمن 😀,ما بجوز تحكي هيك على الزمن
10374,ويشير بأصابعه هكذا يعني أن الغول جائع,@mariam_sawli @SadaNews5 وعامل بأصابيعه مثل هيك 👌 يعني الغول جائع,وعامل بأصابيعه مثل هيك يعني الغول جائع
10374,وعامل بأصابيعه مثل هكذا يعني الغول جائع,@mariam_sawli @SadaNews5 وعامل بأصابيعه مثل هيك 👌 يعني الغول جائع,وعامل بأصابيعه مثل هيك يعني الغول جائع
10422,يا حسرتي إذا كنتم أنتم هكذا فماذا سأفعل عندما أذهب إلى الجامعة؟ يبدو أنني سأفسد الأمور,@RaNaSaFa4 له له .. ازا انتو هيك انا شو اعمل لما اطلع الجامعة شكلي رح اجيب العيد,له له ازا انتو هيك انا شو اعمل لما اطلع الجامعة شكلي رح اجيب العيد
10446,إذا كان هذا هو الهبل الذي أحببته فما أروع الأنثى وهي تتصرف بحرية,@1980Safaa  اذا هيك الهبل  حبيت  ما  اروع الأنثى وهي تتصرف بحرية,اذا هيك الهبل حبيت ما اروع الأنثى وهي تتصرف بحرية
10446,إذا كان الهبل هكذا فقد أحببت ذلك ما أروع الأنثى وهي تتصرف بحرية,@1980Safaa  اذا هيك الهبل  حبيت  ما  اروع الأنثى وهي تتصرف بحرية,اذا هيك الهبل حبيت ما اروع الأنثى وهي تتصرف بحرية
10447,فيكتور أرجوك اجعل شعر حنونة مجعد بالبرايم كل جمهورها يرغب بذلك أرجوك,@Keyrouzvictor فيكتور بليز اعمل لحنونه شعر كيرلي بالبرايم كل جمهورا بدو هيك بليز <3 #hananeelkhader,فيكتور بليز اعمل لحنونه شعر كيرلي بالبرايم كل جمهورا بدو هيك بليز
10447,فيكتور لو سمحت اجعل شعر حنان مجعدا في الحلقة كل الجمهور يرغب في ذلك من فضلك,@Keyrouzvictor فيكتور بليز اعمل لحنونه شعر كيرلي بالبرايم كل جمهورا بدو هيك بليز <3 #hananeelkhader,فيكتور بليز اعمل لحنونه شعر كيرلي بالبرايم كل جمهورا بدو هيك بليز
10462,لقد غير صاحبك واضح أنه غشيم لهذا لن أنبهك أكثر من أجلك,@k_habash @Mogheershurrab مغير صاحبك واضح انه غشيم مشان هيك ما وح انكسو اكتر مشانك😂😂😂😂😂😂😂😂😂,مغير صاحبك واضح انه غشيم مشان هيك ما وح انكسو اكتر مشانك
10472,هل تعلم أن السوري يتكلم بصوت عال في المكالمات الدولية حتى يسمعه الشخص الآخر,#هل_تعلم ان السوري بيحكي بصوت عالي بالمكالمة الدولية مشان التاني يسمعو 😂😂,هل تعلم ان السوري بيحكي بصوت عالي بالمكالمة الدولية مشان التاني يسمعو
10472,هل تعلم أن السوري يتحدث بصوت عال في المكالمة الدولية ليسمعه الآخر؟,#هل_تعلم ان السوري بيحكي بصوت عالي بالمكالمة الدولية مشان التاني يسمعو 😂😂,هل تعلم ان السوري بيحكي بصوت عالي بالمكالمة الدولية مشان التاني يسمعو
10478,تف على هذا الزمن شخص مثل هذا يمثلني,@aboaltrabalamli تفوو على هيك زمن واحد متل هيدا بيمثلني,تفوو على هيك زمن واحد متل هيدا بيمثلني
10483,وماذا تريد اجمل من عندما تشعر بنفسك ضعيف فترى الذين تحبهم بجانبك,وشو بدك احلى من انو لما تحس حالك ضعيف تلاقي اللي بتحبهم جنبك؟,وشو بدك احلى من انو لما تحس حالك ضعيف تلاقي اللي بتحبهم جنبك؟
10492,حسنا لم أعرف أنه يغضب هكذا ألا يعلمونهم الإتيكيت؟,@AldonGhazi طيب ما عرفتو هيك بيزعل ما بعلموهن الاتيكيت ولو😕😕😂,طيب ما عرفتو هيك بيزعل ما بعلموهن الاتيكيت ولو
10503,شيء عادي أن أرى شاب في هذا الجو والبرد يلبس قميص نصف كم أليس كذلك؟,هو عادى اشوف شب ف هيك جو و برد لابس قميص نص كوم ولا كيف !!!,هو عادى اشوف شب ف هيك جو و برد لابس قميص نص كوم ولا كيف
10515,هكذا صحيح كلامك دعنا نشاهد إذن,"@Loser3Soul هيك صحيح كلامك , خلينا نتفرج لكان",هيك صحيح كلامك خلينا نتفرج لكان
10517,أبشع شيء عندما يجبر الإنسان نفسه على منعها عن الأكل هكذا بسبب سخافات الحياة,ابشع شي بس الواحد تصد نفسه عن الأكل  هيك بسبب سخافات الحياة . . 😩,ابشع شي بس الواحد تصد نفسه عن الأكل هيك بسبب سخافات الحياة
10529,أحرق الله موتى آل سعود قل آمين هكذا جال هذا بخاطري,@mohammedrohie يحرق موتا موتا  ال  سعود قول امين  هيك اجا ع بالي,يحرق موتا موتا ال سعود قول امين هيك اجا ع بالي
10531,ماذا تريد من الكلام السنة الماضية كانت فينا بالعرض من أولها أكشن,شو بدك بالحكي  سنة ال ٢٠١٦ فايتة فينا بالعرض من اولها اكشن,شو بدك بالحكي سنة ال ٢٠١٦ فايتة فينا بالعرض من اولها اكشن
10531,ماذا أقول السنة الماضية كانت صعبة علينا منذ البداية وكأنها فيلم مليء بالأحداث,شو بدك بالحكي  سنة ال ٢٠١٦ فايتة فينا بالعرض من اولها اكشن,شو بدك بالحكي سنة ال ٢٠١٦ فايتة فينا بالعرض من اولها اكشن
10544,لا أفهم هل المقاومة ضربت إسرائيل أم جماعة الكاتورز أخي لماذا هم مجانين هكذا؟,ما عم بفهم المقاومة ضربت اسرائيل او جماعة الكاتورز؟؟  خيي ليه هيك جانيين 😂,ما عم بفهم المقاومة ضربت اسرائيل او جماعة الكاتورز؟؟ خيي ليه هيك جانيين
10577,السعادة ليست شخص السعادة هي الهلال وغير ذلك كلام فارغ,السعادة مش شخص السعادة #الهلال وغير هيك حكي فاضي 😍❤,السعادة مش شخص السعادة الهلال وغير هيك حكي فاضي
10577,السعادة ليست شخص السعادة الهلال وغير ذلك كلام فارغ,السعادة مش شخص السعادة #الهلال وغير هيك حكي فاضي 😍❤,السعادة مش شخص السعادة الهلال وغير هيك حكي فاضي
